"","fieldID","DonorSpp","Transplant","Treatment","Transect","Rep","Position","Offset","Side","Transplant.date","Dist_centroid","Dist_edge","Abv.mass","Area","Surv","Germ","Repro","Height","Diam_donor"
"74",74,"BARE","PSSP","Exclusion",1,2,8.6,3,"R","17-Oct-18",NA,NA,0.1587,0.0673871624195011,1,2,0,17.7,NA
"75",75,"BARE","PSSP","Control",1,2,8.6,3,"R","17-Oct-18",NA,NA,0.03,0.00636172512351933,1,3,0,11.2,NA
"76",76,"BARE","POSE","Feedback",1,2,8.6,3,"R","16-Oct-18",NA,NA,0.0905,0.137130519329194,1,6,0,6.6,NA
"77",77,"BARE","POSE","Exclusion",1,2,8.6,3,"R","16-Oct-18",NA,NA,0.1941,0.889227800598591,1,5,0,3.9,NA
"78",78,"BARE","POSE","Control",1,2,8.6,3,"R","16-Oct-18",NA,NA,0.1425,0.547422519888021,1,3,0,4.7,NA
"79",79,"POSE","ARTR","Feedback",1,2,9.3,1.5,"L","15-Oct-18",9,4,NA,NA,0,5,0,NA,5
"80",80,"POSE","ARTR","Exclusion",1,2,9.3,1.5,"L","15-Oct-18",13,6,0.0038,0.172787595947439,1,1,0,1.9,7
"81",81,"POSE","ARTR","Control",1,2,9.3,1.5,"L","15-Oct-18",8,4,0.0159,2.95843780188551,1,3,0,2.2,4
"82",82,"PSSP","ARTR","Feedback",1,2,9.5,7,"L","15-Oct-18",14,5,0.0079,0.706072948894306,1,3,0,2.3,9
"83",83,"PSSP","ARTR","Exclusion",1,2,9.5,7,"L","15-Oct-18",12,6,0.0534,3.41561807279916,1,7,0,2.9,6
"84",84,"PSSP","ARTR","Control",1,2,9.5,7,"L","15-Oct-18",12,6,0.0234,2.83520883004845,1,1,0,3.3,6
"85",85,"PSSP","HECO","Feedback",1,2,9.5,7,"L","18-Oct-18",15,10,0.0111,0.000314159265358979,1,0,0,8,5
"86",86,"PSSP","HECO","Exclusion",1,2,9.5,7,"L","18-Oct-18",11,5,0.019,0.0015707963267949,1,1,0,9.8,6
"87",87,"PSSP","HECO","Control",1,2,9.5,7,"L","18-Oct-18",15,9,0.0336,0.000314159265358979,1,0,0,9.3,6
"88",88,"BARE","ARTR","Feedback",1,2,9.6,0,"","15-Oct-18",NA,NA,0.0329,1.13144459419036,1,1,0,3.7,NA
"89",89,"BARE","ARTR","Exclusion",1,2,9.6,0,"","15-Oct-18",NA,NA,0.017,0.576796411199086,1,4,0,1.9,NA
"90",90,"BARE","ARTR","Control",1,2,9.6,0,"","15-Oct-18",NA,NA,0.0033,0.0659734457253857,1,3,0,9.3,NA
"91",91,"BARE","HECO","Feedback",1,2,9.6,0,"","18-Oct-18",NA,NA,NA,NA,0,0,0,NA,NA
"92",92,"BARE","HECO","Exclusion",1,2,9.6,0,"","18-Oct-18",NA,NA,8e-04,0.00659734457253857,0,1,0,9.3,NA
"93",93,"BARE","HECO","Control",1,2,9.6,0,"","18-Oct-18",NA,NA,0.0191,0.00659734457253857,1,2,0,12,NA
"94",94,"PSSP","POSE","Feedback",1,2,10,3,"L","16-Oct-18",23,6,0.075,0.174358392274234,1,6,1,7,17
"95",95,"PSSP","POSE","Exclusion",1,2,10,3,"L","16-Oct-18",12,5,0.1018,0.10477211499722,1,6,0,9.7,7
"96",96,"PSSP","POSE","Control",1,2,10,3,"L","16-Oct-18",11,6,0.0333,0.0138230076757951,1,2,0,10.8,5
"97",97,"ARTR","ARTR","Feedback",1,2,11,3,"L","15-Oct-18",55,0,0.0101,1.3854423602331,1,2,0,3.4,55
"98",98,"ARTR","ARTR","Exclusion",1,2,11,3,"L","15-Oct-18",45,0,0.0196,7.27867747928585,1,2,0,5.5,45
"99",99,"ARTR","ARTR","Control",1,2,11,3,"L","15-Oct-18",57,0,NA,NA,0,1,0,NA,57
