Lab Number,Account,Report Number,Info1,Report Date,Sample ID,Date Received,Sample Position,OM,P1,P2,BICARB,K,Mg,Ca,pH,Nitrate,CEC
34770970,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE5-ST,7/22/2019,65,2.9,16,109,11,513,136,3695,7.9,4,20.9
34770971,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE6-ST,7/22/2019,66,3,17,117,12,507,149,3570,8,6,20.4
34770972,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE7-ST,7/22/2019,67,2.6,19,111,13,445,96,3808,8.1,3,21
34770973,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE8-ST,7/22/2019,68,2.4,18,113,12,467,103,3488,8.1,4,19.5
34770974,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE9-ST,7/22/2019,69,2.4,8,66,13,434,104,3522,8.1,5,19.6
34770975,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE10-ST,7/22/2019,70,3.5,20,129,11,457,143,3409,8,4,19.4
34770976,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP1-ST,7/22/2019,71,2.1,15,111,10,268,157,3556,7.9,3,19.8
34770977,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP2-ST,7/22/2019,72,2.5,12,99,10,386,153,3593,8,2,20.2
34770978,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP3-ST,7/22/2019,73,2.4,20,88,15,616,125,3419,8.2,3,19.7
34770979,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP4-ST,7/22/2019,74,2.6,6,69,14,502,103,3595,8.2,6,20.1
34770981,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP5-ST,7/22/2019,75,2.2,6,69,13,477,101,3583,8.2,5,20
34770982,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP6-ST,7/22/2019,76,2.5,16,80,12,406,95,3589,8.2,4,19.8
34770983,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP7-ST,7/22/2019,77,2.5,19,132,14,323,147,3104,7.8,2,17.6
34770984,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP8-ST,7/22/2019,78,3.8,42,125,27,569,252,2682,7.4,4,17
34770985,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP9-ST,7/22/2019,79,2.7,30,117,18,410,244,2653,7.2,3,16.3
34770986,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP10-ST,7/22/2019,80,2.9,41,136,32,660,276,2421,7.3,2,16.1
