"","ID","Rep","FocalNew","NeighborNew","F.H","N.live","N.dead","F.mass","N.all.mass","N.max","Type","N.all.percap","N.live.percap"
"159",159,5,"POSE","POSE",1,4,0,1,24,0,"Intra",6,24
"160",160,5,"POSE","POSE",1,11,5,2.1,39,0,"Intra",2.4375,26.8125
"161",161,5,"POSE","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"162",162,5,"POSE","ARTR",1,2,0,19.9,6.4,2,"Inter",3.2,6.4
"163",163,5,"POSE","ARTR",1,1,0,1.7,4.8,2,"Inter",4.8,4.8
"164",164,5,"POSE","ARTR",1,4,0,1.1,41.7,5,"Inter",10.425,41.7
"165",165,5,"POSE","PSSP",1,1,0,23.3,24.7,2,"Inter",24.7,24.7
"166",166,5,"POSE","PSSP",1,0,1,3.3,1.9,1,"Inter",1.9,0
"167",167,5,"POSE","PSSP",2,3,0,14.6,28.8,7,"Inter",9.6,28.8
"168",168,5,"POSE","PSSP",1,1,9,6,54.5,12,"Inter",5.45,5.45
"169",169,5,"PSSP","PSSP",1,0,0,32.2,NA,0,"Solo",NA,NA
"170",170,5,"PSSP","PSSP",1,0,0,35.9,NA,0,"Solo",NA,NA
"171",171,5,"PSSP","PSSP",1,4,0,11.7,42.2,0,"Intra",10.55,42.2
"172",172,5,"PSSP","PSSP",1,9,0,6.5,102.2,0,"Intra",11.3555555555556,102.2
"173",173,5,"PSSP","ARTR",1,0,0,21,NA,1,"Inter",NA,NA
"174",174,5,"PSSP","ARTR",1,0,0,20.7,NA,0,"Inter",NA,NA
"175",175,5,"PSSP","ARTR",1,1,0,40.7,13.8,1,"Inter",13.8,13.8
"176",176,5,"PSSP","ARTR",1,9,0,18,33.4,10,"Inter",3.71111111111111,33.4
"177",177,5,"POSE","PSSP",1,3,0,0.1,55.3,1,"Inter",18.4333333333333,55.3
"178",178,5,"PSSP","POSE",1,3,0,22.5,16.4,3,"Inter",5.46666666666667,16.4
"179",179,5,"PSSP","POSE",1,3,0,18.3,31.9,3,"Inter",10.6333333333333,31.9
"180",180,5,"PSSP","POSE",1,4,0,10.6,33.1,4,"Inter",8.275,33.1
